domain,obs_pct,n,accuracy,spread,q,q_paper,beta
block-words,10,40,0.075,12.825,0.0074,1.0,0.1
block-words,30,40,0.225,6.625,0.0859,1.0,0.1
block-words,50,40,0.35,4.75,0.1559,1.0,0.1
block-words,70,40,0.6,2.35,0.4688,1.0,0.1
block-words,100,40,0.8,1.4,0.775,1.0,0.1
campus,10,100,1.0,1.04,0.98,1.0,0.1
campus,30,100,1.0,1.0,1.0,1.0,0.1
campus,50,100,1.0,1.0,1.0,1.0,0.1
campus,70,100,1.0,1.0,1.0,1.0,0.1
campus,100,100,1.0,1.0,1.0,1.0,0.1
grid,10,21,0.6667,2.0,0.4524,1.0,0.1
grid,30,21,0.6667,1.9524,0.4524,1.0,0.1
grid,50,21,0.7143,1.8095,0.5317,1.0,0.1
grid,70,21,0.7143,1.7143,0.5556,1.0,0.1
grid,100,21,0.8095,1.5238,0.6984,1.0,0.1
intrusion-detection,10,30,0.2667,4.0667,0.0853,1.0,0.1
intrusion-detection,30,30,0.7,1.8333,0.6,1.0,0.1
intrusion-detection,50,30,0.8333,1.2667,0.7833,1.0,0.1
intrusion-detection,70,30,1.0,1.0,1.0,1.0,0.1
intrusion-detection,100,30,1.0,1.0,1.0,1.0,0.1
kitchen,10,150,0.3333,2.0,0.3333,1.0,0.1
kitchen,30,150,1.0,1.3333,0.8333,1.0,0.1
kitchen,50,150,1.0,1.0,1.0,1.0,0.1
kitchen,70,150,1.0,1.0,1.0,1.0,0.1
kitchen,100,150,1.0,1.0,1.0,1.0,0.1
logistics,10,36,0.5833,2.1667,0.4606,1.0,0.1
logistics,30,36,0.8889,1.2778,0.8056,1.0,0.1
logistics,50,36,0.8889,1.2778,0.8056,1.0,0.1
logistics,70,36,0.8889,1.2222,0.8333,1.0,0.1
logistics,100,36,1.0,1.0,1.0,1.0,0.1
block-words,10,40,0.075,12.825,0.0074,1.0,0.5
block-words,30,40,0.225,6.625,0.0859,1.0,0.5
block-words,50,40,0.35,4.75,0.1559,1.0,0.5
block-words,70,40,0.6,2.35,0.4688,1.0,0.5
block-words,100,40,0.8,1.4,0.775,1.0,0.5
campus,10,100,1.0,1.04,0.98,1.0,0.5
campus,30,100,1.0,1.0,1.0,1.0,0.5
campus,50,100,1.0,1.0,1.0,1.0,0.5
campus,70,100,1.0,1.0,1.0,1.0,0.5
campus,100,100,1.0,1.0,1.0,1.0,0.5
grid,10,21,0.6667,2.0,0.4524,1.0,0.5
grid,30,21,0.6667,1.9524,0.4524,1.0,0.5
grid,50,21,0.7143,1.8095,0.5317,1.0,0.5
grid,70,21,0.7143,1.7143,0.5556,1.0,0.5
grid,100,21,0.8095,1.5238,0.6984,1.0,0.5
intrusion-detection,10,30,0.2667,4.0667,0.0853,1.0,0.5
intrusion-detection,30,30,0.7,1.8333,0.6,1.0,0.5
intrusion-detection,50,30,0.8333,1.2667,0.7833,1.0,0.5
intrusion-detection,70,30,1.0,1.0,1.0,1.0,0.5
intrusion-detection,100,30,1.0,1.0,1.0,1.0,0.5
kitchen,10,150,0.3333,2.0,0.3333,1.0,0.5
kitchen,30,150,1.0,1.3333,0.8333,1.0,0.5
kitchen,50,150,1.0,1.0,1.0,1.0,0.5
kitchen,70,150,1.0,1.0,1.0,1.0,0.5
kitchen,100,150,1.0,1.0,1.0,1.0,0.5
logistics,10,36,0.5833,2.1667,0.4606,1.0,0.5
logistics,30,36,0.8889,1.2778,0.8056,1.0,0.5
logistics,50,36,0.8889,1.2778,0.8056,1.0,0.5
logistics,70,36,0.8889,1.2222,0.8333,1.0,0.5
logistics,100,36,1.0,1.0,1.0,1.0,0.5
block-words,10,40,0.075,12.825,0.0074,1.0,1.0
block-words,30,40,0.225,6.625,0.0859,1.0,1.0
block-words,50,40,0.35,4.75,0.1559,1.0,1.0
block-words,70,40,0.6,2.35,0.4688,1.0,1.0
block-words,100,40,0.8,1.4,0.775,1.0,1.0
campus,10,100,1.0,1.04,0.98,1.0,1.0
campus,30,100,1.0,1.0,1.0,1.0,1.0
campus,50,100,1.0,1.0,1.0,1.0,1.0
campus,70,100,1.0,1.0,1.0,1.0,1.0
campus,100,100,1.0,1.0,1.0,1.0,1.0
grid,10,21,0.6667,2.0,0.4524,1.0,1.0
grid,30,21,0.6667,1.9524,0.4524,1.0,1.0
grid,50,21,0.7143,1.8095,0.5317,1.0,1.0
grid,70,21,0.7143,1.7143,0.5556,1.0,1.0
grid,100,21,0.8095,1.5238,0.6984,1.0,1.0
intrusion-detection,10,30,0.2667,4.0667,0.0853,1.0,1.0
intrusion-detection,30,30,0.7,1.8333,0.6,1.0,1.0
intrusion-detection,50,30,0.8333,1.2667,0.7833,1.0,1.0
intrusion-detection,70,30,1.0,1.0,1.0,1.0,1.0
intrusion-detection,100,30,1.0,1.0,1.0,1.0,1.0
kitchen,10,150,0.3333,2.0,0.3333,1.0,1.0
kitchen,30,150,1.0,1.3333,0.8333,1.0,1.0
kitchen,50,150,1.0,1.0,1.0,1.0,1.0
kitchen,70,150,1.0,1.0,1.0,1.0,1.0
kitchen,100,150,1.0,1.0,1.0,1.0,1.0
logistics,10,36,0.5833,2.1667,0.4606,1.0,1.0
logistics,30,36,0.8889,1.2778,0.8056,1.0,1.0
logistics,50,36,0.8889,1.2778,0.8056,1.0,1.0
logistics,70,36,0.8889,1.2222,0.8333,1.0,1.0
logistics,100,36,1.0,1.0,1.0,1.0,1.0
block-words,10,40,0.075,12.825,0.0074,1.0,10.0
block-words,30,40,0.225,6.625,0.0859,1.0,10.0
block-words,50,40,0.35,4.75,0.1559,1.0,10.0
block-words,70,40,0.6,2.35,0.4688,1.0,10.0
block-words,100,40,0.8,1.4,0.775,1.0,10.0
campus,10,100,1.0,1.04,0.98,1.0,10.0
campus,30,100,1.0,1.0,1.0,1.0,10.0
campus,50,100,1.0,1.0,1.0,1.0,10.0
campus,70,100,1.0,1.0,1.0,1.0,10.0
campus,100,100,1.0,1.0,1.0,1.0,10.0
grid,10,21,0.6667,2.0,0.4524,1.0,10.0
grid,30,21,0.6667,1.9524,0.4524,1.0,10.0
grid,50,21,0.7143,1.8095,0.5317,1.0,10.0
grid,70,21,0.7143,1.7143,0.5556,1.0,10.0
grid,100,21,0.8095,1.5238,0.6984,1.0,10.0
intrusion-detection,10,30,0.2667,4.0667,0.0853,1.0,10.0
intrusion-detection,30,30,0.7,1.8333,0.6,1.0,10.0
intrusion-detection,50,30,0.8333,1.2667,0.7833,1.0,10.0
intrusion-detection,70,30,1.0,1.0,1.0,1.0,10.0
intrusion-detection,100,30,1.0,1.0,1.0,1.0,10.0
kitchen,10,150,0.3333,2.0,0.3333,1.0,10.0
kitchen,30,150,1.0,1.3333,0.8333,1.0,10.0
kitchen,50,150,1.0,1.0,1.0,1.0,10.0
kitchen,70,150,1.0,1.0,1.0,1.0,10.0
kitchen,100,150,1.0,1.0,1.0,1.0,10.0
logistics,10,36,0.5833,2.1667,0.4606,1.0,10.0
logistics,30,36,0.8889,1.2778,0.8056,1.0,10.0
logistics,50,36,0.8889,1.2778,0.8056,1.0,10.0
logistics,70,36,0.8889,1.2222,0.8333,1.0,10.0
logistics,100,36,1.0,1.0,1.0,1.0,10.0
block-words,10,40,0.075,12.825,0.0074,1.0,2.0
block-words,30,40,0.225,6.625,0.0859,1.0,2.0
block-words,50,40,0.35,4.75,0.1559,1.0,2.0
block-words,70,40,0.6,2.35,0.4688,1.0,2.0
block-words,100,40,0.8,1.4,0.775,1.0,2.0
campus,10,100,1.0,1.04,0.98,1.0,2.0
campus,30,100,1.0,1.0,1.0,1.0,2.0
campus,50,100,1.0,1.0,1.0,1.0,2.0
campus,70,100,1.0,1.0,1.0,1.0,2.0
campus,100,100,1.0,1.0,1.0,1.0,2.0
grid,10,21,0.6667,2.0,0.4524,1.0,2.0
grid,30,21,0.6667,1.9524,0.4524,1.0,2.0
grid,50,21,0.7143,1.8095,0.5317,1.0,2.0
grid,70,21,0.7143,1.7143,0.5556,1.0,2.0
grid,100,21,0.8095,1.5238,0.6984,1.0,2.0
intrusion-detection,10,30,0.2667,4.0667,0.0853,1.0,2.0
intrusion-detection,30,30,0.7,1.8333,0.6,1.0,2.0
intrusion-detection,50,30,0.8333,1.2667,0.7833,1.0,2.0
intrusion-detection,70,30,1.0,1.0,1.0,1.0,2.0
intrusion-detection,100,30,1.0,1.0,1.0,1.0,2.0
kitchen,10,150,0.3333,2.0,0.3333,1.0,2.0
kitchen,30,150,1.0,1.3333,0.8333,1.0,2.0
kitchen,50,150,1.0,1.0,1.0,1.0,2.0
kitchen,70,150,1.0,1.0,1.0,1.0,2.0
kitchen,100,150,1.0,1.0,1.0,1.0,2.0
logistics,10,36,0.5833,2.1667,0.4606,1.0,2.0
logistics,30,36,0.8889,1.2778,0.8056,1.0,2.0
logistics,50,36,0.8889,1.2778,0.8056,1.0,2.0
logistics,70,36,0.8889,1.2222,0.8333,1.0,2.0
logistics,100,36,1.0,1.0,1.0,1.0,2.0
block-words,10,40,0.075,12.825,0.0074,1.0,5.0
block-words,30,40,0.225,6.625,0.0859,1.0,5.0
block-words,50,40,0.35,4.75,0.1559,1.0,5.0
block-words,70,40,0.6,2.35,0.4688,1.0,5.0
block-words,100,40,0.8,1.4,0.775,1.0,5.0
campus,10,100,1.0,1.04,0.98,1.0,5.0
campus,30,100,1.0,1.0,1.0,1.0,5.0
campus,50,100,1.0,1.0,1.0,1.0,5.0
campus,70,100,1.0,1.0,1.0,1.0,5.0
campus,100,100,1.0,1.0,1.0,1.0,5.0
grid,10,21,0.6667,2.0,0.4524,1.0,5.0
grid,30,21,0.6667,1.9524,0.4524,1.0,5.0
grid,50,21,0.7143,1.8095,0.5317,1.0,5.0
grid,70,21,0.7143,1.7143,0.5556,1.0,5.0
grid,100,21,0.8095,1.5238,0.6984,1.0,5.0
intrusion-detection,10,30,0.2667,4.0667,0.0853,1.0,5.0
intrusion-detection,30,30,0.7,1.8333,0.6,1.0,5.0
intrusion-detection,50,30,0.8333,1.2667,0.7833,1.0,5.0
intrusion-detection,70,30,1.0,1.0,1.0,1.0,5.0
intrusion-detection,100,30,1.0,1.0,1.0,1.0,5.0
kitchen,10,150,0.3333,2.0,0.3333,1.0,5.0
kitchen,30,150,1.0,1.3333,0.8333,1.0,5.0
kitchen,50,150,1.0,1.0,1.0,1.0,5.0
