domain,instance,obs_pct,true_idx,predicted_idx,spread,correct,obs_count,deltas,posterior,beta
block-words,p02,10,0,0,14,1,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0617,0.0617,0.0617,0.0617,0.0617,0.0617,0.0617,0.0227,0.0227,0.0617,0.0617,0.0617,0.0227,0.0617,0.0227,0.0227,0.0617,0.0617,0.0617,0.0227",1.0
block-words,p02,30,0,0,10,1,3,"0,0,0,0,0,0,0,5,3,0,0,0,5,5,5,5,3,2,2,5","0.0961,0.0961,0.0961,0.0961,0.0961,0.0961,0.0961,0.0006,0.0048,0.0961,0.0961,0.0961,0.0006,0.0006,0.0006,0.0006,0.0048,0.0130,0.0130,0.0006",1.0
block-words,p02,50,0,0,8,1,4,"0,0,0,0,0,0,0,5,5,0,2,2,8,6,6,7,5,4,4,8","0.1200,0.1200,0.1200,0.1200,0.1200,0.1200,0.1200,0.0008,0.0008,0.1200,0.0162,0.0162,0.0000,0.0003,0.0003,0.0001,0.0008,0.0022,0.0022,0.0000",1.0
block-words,p02,70,0,0,1,1,6,"0,4,4,3,4,4,4,10,10,2,4,4,10,8,8,10,10,8,8,12","0.7605,0.0139,0.0139,0.0379,0.0139,0.0139,0.0139,0.0000,0.0000,0.1029,0.0139,0.0139,0.0000,0.0003,0.0003,0.0000,0.0000,0.0003,0.0003,0.0000",1.0
block-words,p02,100,0,0,1,1,8,"0,6,6,6,6,6,8,12,14,4,6,6,12,8,10,10,10,8,8,14","0.9642,0.0024,0.0024,0.0024,0.0024,0.0024,0.0003,0.0000,0.0000,0.0177,0.0024,0.0024,0.0000,0.0003,0.0000,0.0000,0.0000,0.0003,0.0003,0.0000",1.0
block-words,p02,10,1,0,10,0,2,"0,0,0,0,0,0,0,3,2,0,0,0,4,4,4,4,2,2,2,3","0.0933,0.0933,0.0933,0.0933,0.0933,0.0933,0.0933,0.0046,0.0126,0.0933,0.0933,0.0933,0.0017,0.0017,0.0017,0.0017,0.0126,0.0126,0.0126,0.0046",1.0
block-words,p02,30,1,1,9,1,4,"2,0,0,0,0,0,0,5,4,0,0,0,8,8,8,8,4,6,6,5","0.0147,0.1088,0.1088,0.1088,0.1088,0.1088,0.1088,0.0007,0.0020,0.1088,0.1088,0.1088,0.0000,0.0000,0.0000,0.0000,0.0020,0.0003,0.0003,0.0007",1.0
block-words,p02,50,1,1,9,1,6,"4,0,0,0,0,0,0,6,6,0,0,0,8,8,8,8,6,8,6,6","0.0020,0.1107,0.1107,0.1107,0.1107,0.1107,0.1107,0.0003,0.0003,0.1107,0.1107,0.1107,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0003,0.0003",1.0
block-words,p02,70,1,1,3,1,9,"8,0,0,1,0,1,5,9,8,5,4,4,8,11,9,8,10,9,7,8","0.0001,0.2639,0.2639,0.0971,0.2639,0.0971,0.0018,0.0000,0.0001,0.0018,0.0048,0.0048,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0002,0.0001",1.0
block-words,p02,100,1,1,1,1,12,"14,0,3,6,4,6,14,14,14,8,9,10,10,14,12,13,16,14,12,14","0.0000,0.9314,0.0464,0.0023,0.0171,0.0023,0.0000,0.0000,0.0000,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",1.0
block-words,p02,10,2,0,14,0,1,"0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1","0.0617,0.0617,0.0617,0.0617,0.0617,0.0617,0.0617,0.0227,0.0227,0.0617,0.0617,0.0617,0.0227,0.0617,0.0227,0.0227,0.0617,0.0617,0.0617,0.0227",1.0
block-words,p02,30,2,0,10,0,3,"0,0,0,0,0,0,0,5,3,0,0,0,5,5,5,5,3,2,2,5","0.0961,0.0961,0.0961,0.0961,0.0961,0.0961,0.0961,0.0006,0.0048,0.0961,0.0961,0.0961,0.0006,0.0006,0.0006,0.0006,0.0048,0.0130,0.0130,0.0006",1.0
block-words,p02,50,2,1,9,0,5,"2,0,0,0,0,0,0,5,5,0,0,0,8,8,8,8,4,6,6,5","0.0147,0.1089,0.1089,0.1089,0.1089,0.1089,0.1089,0.0007,0.0007,0.1089,0.1089,0.1089,0.0000,0.0000,0.0000,0.0000,0.0020,0.0003,0.0003,0.0007",1.0
block-words,p02,70,2,1,5,0,7,"4,0,0,0,0,0,1,7,7,1,1,1,8,8,8,8,7,8,6,7","0.0028,0.1539,0.1539,0.1539,0.1539,0.1539,0.0566,0.0001,0.0001,0.0566,0.0566,0.0566,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0004,0.0001",1.0
